date,available_spots
11/7/2017,161
11/7/2017,161
11/7/2017,161
11/7/2017,161
11/7/2017,161
11/7/2017,161
11/7/2017,161
11/7/2017,161
11/7/2017,161
11/7/2017,161
11/7/2017,120
11/7/2017,125
11/7/2017,129
11/7/2017,129
11/7/2017,134
11/7/2017,137
11/7/2017,146
11/8/2017,147
11/8/2017,151
11/8/2017,155
11/8/2017,157
11/8/2017,157
11/8/2017,152
11/8/2017,143
11/8/2017,133
11/8/2017,129
11/8/2017,126
11/8/2017,120
11/8/2017,120
11/8/2017,113
11/8/2017,108
11/8/2017,103
11/8/2017,103
11/8/2017,99
11/8/2017,129
11/8/2017,131
11/8/2017,133
11/8/2017,134
11/8/2017,136
11/8/2017,139
11/8/2017,144
11/9/2017,148
11/9/2017,150
11/9/2017,154
11/9/2017,156
11/9/2017,156
11/9/2017,154
11/9/2017,150
11/9/2017,148
11/9/2017,145
11/9/2017,144
11/9/2017,144
11/9/2017,143
11/9/2017,142
11/9/2017,139
11/9/2017,132
11/9/2017,134
11/9/2017,136
11/9/2017,99
11/9/2017,105
11/9/2017,101
11/9/2017,105
11/9/2017,106
11/9/2017,109
11/9/2017,117
11/10/2017,124
11/10/2017,126
11/10/2017,128
11/10/2017,128
11/10/2017,131
11/10/2017,132
11/10/2017,130
11/10/2017,127
11/10/2017,121
11/10/2017,85
11/10/2017,51
11/10/2017,46
11/10/2017,45
11/10/2017,41
11/10/2017,43
11/10/2017,50
11/10/2017,59
11/10/2017,76
11/10/2017,96
11/10/2017,104
11/10/2017,111
11/10/2017,112
11/10/2017,120
11/10/2017,135
11/11/2017,142
11/11/2017,146
11/11/2017,160
11/11/2017,161
11/11/2017,161
11/11/2017,158
11/11/2017,147
11/11/2017,137
11/11/2017,127
11/11/2017,121
11/11/2017,117
11/11/2017,111
11/11/2017,103
11/11/2017,94
11/11/2017,89
11/11/2017,94
11/11/2017,91
11/11/2017,91
11/11/2017,87
11/11/2017,86
11/11/2017,94
11/11/2017,103
11/11/2017,127
11/11/2017,134
11/12/2017,143
11/12/2017,146
11/12/2017,151
11/12/2017,150
11/12/2017,159
11/12/2017,159
11/12/2017,159
11/12/2017,156
11/12/2017,143
11/12/2017,104
11/12/2017,84
11/12/2017,77
11/12/2017,76
11/12/2017,74
11/12/2017,73
11/12/2017,81
11/12/2017,94
11/12/2017,116
11/12/2017,156
11/12/2017,161
11/12/2017,161
11/12/2017,161
11/12/2017,161
11/12/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,131
11/13/2017,90
11/13/2017,48
11/13/2017,28
11/13/2017,28
11/13/2017,33
11/13/2017,41
11/13/2017,46
11/13/2017,58
11/13/2017,130
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/13/2017,161
11/14/2017,161
11/14/2017,161
11/14/2017,161
11/14/2017,161
11/14/2017,161
11/14/2017,161
11/14/2017,161
11/14/2017,161
11/14/2017,134
11/14/2017,90
11/14/2017,59
11/14/2017,51
11/14/2017,41
11/14/2017,40
11/14/2017,37
11/14/2017,45
11/14/2017,56
11/14/2017,42
11/14/2017,47
11/14/2017,44
11/14/2017,53
11/14/2017,65
11/14/2017,70
11/14/2017,106
11/15/2017,157
11/15/2017,160
11/15/2017,161
11/15/2017,161
11/15/2017,161
11/15/2017,146
11/15/2017,131
11/15/2017,116
11/15/2017,103
11/15/2017,81
11/15/2017,72
11/15/2017,63
11/15/2017,72
11/15/2017,93
11/15/2017,82
11/15/2017,94
11/15/2017,94
11/15/2017,126
11/15/2017,156
11/15/2017,161
11/15/2017,161
11/15/2017,161
11/15/2017,161
11/15/2017,161
11/16/2017,161
11/16/2017,161
11/16/2017,161
11/16/2017,161
11/16/2017,161
11/16/2017,161
11/16/2017,161
11/16/2017,152
11/16/2017,142
11/16/2017,123
11/16/2017,110
11/16/2017,104
11/16/2017,102
11/16/2017,96
11/16/2017,94
11/16/2017,90
11/16/2017,80
11/16/2017,84
11/16/2017,125
11/16/2017,141
11/16/2017,151
11/16/2017,156
11/16/2017,156
11/16/2017,157
11/17/2017,158
11/17/2017,158
11/17/2017,158
11/17/2017,158
11/17/2017,156
11/17/2017,157
11/17/2017,156
11/17/2017,149
11/17/2017,122
11/17/2017,75
11/17/2017,47
11/17/2017,36
11/17/2017,43
11/17/2017,46
11/17/2017,44
11/17/2017,46
11/17/2017,59
11/17/2017,89
11/17/2017,122
11/17/2017,139
11/17/2017,146
11/17/2017,151
11/17/2017,151
11/17/2017,152
11/18/2017,152
11/18/2017,152
11/18/2017,152
11/18/2017,151
11/18/2017,151
11/18/2017,150
11/18/2017,148
11/18/2017,143
11/18/2017,136
11/18/2017,88
11/18/2017,63
11/18/2017,55
11/18/2017,56
11/18/2017,53
11/18/2017,56
11/18/2017,52
11/18/2017,53
11/18/2017,81
11/18/2017,86
11/18/2017,96
11/18/2017,102
11/18/2017,115
11/18/2017,124
11/18/2017,129
11/19/2017,130
11/19/2017,130
11/19/2017,130
11/19/2017,130
11/19/2017,130
11/19/2017,130
11/19/2017,129
11/19/2017,116
11/19/2017,82
11/19/2017,49
11/19/2017,24
11/19/2017,22
11/19/2017,24
11/19/2017,36
11/19/2017,48
11/19/2017,35
11/19/2017,27
11/19/2017,136
11/19/2017,136
11/19/2017,138
11/19/2017,139
11/19/2017,140
11/19/2017,142
11/19/2017,151
11/20/2017,152
11/20/2017,153
11/20/2017,153
11/20/2017,156
11/20/2017,156
11/20/2017,156
11/20/2017,153
11/20/2017,152
11/20/2017,149
11/20/2017,145
11/20/2017,144
11/20/2017,139
11/20/2017,139
11/20/2017,136
11/20/2017,136
11/20/2017,136
11/20/2017,135
11/20/2017,21
11/20/2017,17
11/20/2017,13
11/20/2017,13
11/20/2017,12
11/20/2017,11
11/20/2017,11
11/21/2017,11
11/21/2017,11
11/21/2017,11
11/21/2017,11
11/21/2017,11
11/21/2017,7
11/21/2017,2
11/21/2017,-3
11/21/2017,-10
11/21/2017,-18
11/21/2017,-22
11/21/2017,-26
11/21/2017,-35
11/21/2017,-39
11/21/2017,-50
11/21/2017,-60
11/21/2017,-75
11/21/2017,161
11/21/2017,161
11/21/2017,161
11/21/2017,161
11/21/2017,161
11/21/2017,161
11/21/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,122
11/22/2017,60
11/22/2017,119
11/22/2017,141
11/22/2017,147
11/22/2017,149
11/22/2017,151
11/22/2017,155
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,161
11/22/2017,159
11/23/2017,148
11/23/2017,150
11/23/2017,143
11/23/2017,137
11/23/2017,139
11/23/2017,131
11/23/2017,118
11/23/2017,149
11/23/2017,153
11/23/2017,160
11/23/2017,161
11/23/2017,161
11/23/2017,161
11/23/2017,161
11/23/2017,161
11/23/2017,161
11/23/2017,160
11/23/2017,160
11/23/2017,161
11/23/2017,161
11/23/2017,156
11/23/2017,141
11/23/2017,100
11/23/2017,74
11/24/2017,65
11/24/2017,66
11/24/2017,63
11/24/2017,59
11/24/2017,61
11/24/2017,83
11/24/2017,137
11/24/2017,147
11/24/2017,151
11/24/2017,159
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,161
11/24/2017,131
11/24/2017,86
11/24/2017,59
11/25/2017,51
11/25/2017,58
11/25/2017,49
11/25/2017,48
11/25/2017,56
11/25/2017,72
11/25/2017,128
11/25/2017,130
11/25/2017,130
11/25/2017,138
11/25/2017,150
11/25/2017,158
11/25/2017,161
11/25/2017,161
11/25/2017,161
11/25/2017,161
11/25/2017,161
11/25/2017,161
11/26/2017,161
11/26/2017,135
11/26/2017,95
11/26/2017,72
11/26/2017,58
11/26/2017,58
11/26/2017,59
11/26/2017,57
11/26/2017,66
11/26/2017,70
11/26/2017,82
11/26/2017,89
11/26/2017,96
11/26/2017,98
11/26/2017,101
11/26/2017,101
11/26/2017,113
11/26/2017,119
11/26/2017,131
11/26/2017,149
11/26/2017,152
11/26/2017,160
11/26/2017,153
11/26/2017,142
11/27/2017,136
11/27/2017,128
11/27/2017,122
11/27/2017,117
11/27/2017,113
11/27/2017,106
11/27/2017,106
11/27/2017,105
11/27/2017,110
11/27/2017,106
11/27/2017,82
11/27/2017,120
11/27/2017,136
11/27/2017,148
11/27/2017,154
